,Lawyer,Matter Type,Jurisdiction,Industry,Client Role,Tort,Contract,Restitution,Statute,Injunction,Jurisdiction Motion,Motion to Strike,Summary Judgment,Claim Amount
246,Lawyer Gamma,Class Action (Product Liabilty,Ontario,Pharmaceuticals,Third Party,1,1,1,0,0,1,0,0,8926772
247,Lawyer Kappa,Action (Privacy),Ontario,Technology,Plaintiff,1,0,0,1,1,0,0,1,5463409
248,Lawyer Alpha,Class Action (Product Liabilty,Alberta,Insurance,Defendant,0,1,0,0,0,0,1,0,8020260
249,Lawyer Delta,Action (Privacy),Federal,Transportation,Third Party,0,1,0,1,0,0,0,1,7564254
250,Lawyer Gamma,Class Action (Product Liabilty,British Columbia,Banking,Third Party,0,1,0,0,0,0,1,1,13326634
251,Lawyer Delta,Action (Commercial),Alberta,Pharmaceuticals,Third Party,0,0,0,1,0,0,0,1,7273727
252,Lawyer Iota,Action (Commercial),Ontario,Resources,Third Party,1,0,0,1,1,0,0,0,3565579
253,Lawyer Alpha,Action (Securities),Alberta,Retail,Defendant,0,0,0,1,0,1,1,0,16893702
254,Lawyer Gamma,Class Action (Product Liabilty,Alberta,Transportation,Defendant,0,1,0,0,1,1,1,1,848543
255,Lawyer Zeta,Action (Commercial),Ontario,Retail,Defendant,1,0,0,0,0,0,1,1,16392071
256,Lawyer Zeta,Action (Commercial),British Columbia,Insurance,Plaintiff,1,1,1,1,1,1,0,1,2594524
257,Lawyer Zeta,Class Action (Securities),Federal,Insurance,Defendant,0,0,1,0,0,1,0,0,11953137
258,Lawyer Beta,Class Action (Securities),Quebec,Retail,Plaintiff,1,0,0,1,0,0,1,1,18716916
259,Lawyer Kappa,Action (Product Liability),Ontario,Technology,Defendant,1,1,0,0,0,0,1,0,6744419
260,Lawyer Beta,Action (Securities),British Columbia,Resources,Third Party,0,1,1,1,1,0,1,0,14595025
261,Lawyer Theta,Action (Privacy),Quebec,Banking,Plaintiff,0,0,0,0,1,1,0,1,17531338
262,Lawyer Kappa,Class Action (Privacy,Alberta,Banking,Plaintiff,1,1,1,1,0,0,0,0,16227270
263,Lawyer Epsilon,Action (Securities),Ontario,Construction,Defendant,1,0,1,0,1,1,0,1,11876202
264,Lawyer Theta,Action (Securities),Ontario,Pharmaceuticals,Third Party,1,0,0,0,1,1,1,1,6043392
265,Lawyer Epsilon,Class Action (Privacy,Quebec,Construction,Plaintiff,0,1,1,1,1,1,1,1,19405158
266,Lawyer Epsilon,Class Action (Competition),British Columbia,Resources,Third Party,0,1,1,1,1,0,0,1,15130960
267,Lawyer Kappa,Action (Product Liability),Quebec,Transportation,Defendant,1,1,1,1,1,0,1,0,6532123
268,Lawyer Epsilon,Action (Privacy),British Columbia,Banking,Third Party,1,1,1,1,1,1,1,1,10900146
269,Lawyer Eta,Action (Product Liability),Ontario,Construction,Defendant,0,1,0,1,1,0,0,1,16490710
270,Lawyer Beta,Action (Commercial),Federal,Retail,Third Party,0,0,1,0,1,1,0,0,12869002
271,Lawyer Alpha,Class Action (Competition),Federal,Insurance,Plaintiff,1,1,0,0,1,1,0,1,6211034
272,Lawyer Iota,Class Action (Securities),British Columbia,Resources,Third Party,1,1,1,1,1,0,0,1,13003487
273,Lawyer Zeta,Action (Commercial),Federal,Transportation,Plaintiff,0,1,1,1,0,1,1,1,6849411
274,Lawyer Eta,Class Action (Securities),British Columbia,Transportation,Plaintiff,1,1,0,1,0,1,1,1,13014416
275,Lawyer Alpha,Class Action (Privacy,British Columbia,Technology,Plaintiff,1,1,1,1,1,0,1,1,2618071
276,Lawyer Kappa,Class Action (Product Liabilty,British Columbia,Technology,Defendant,1,0,1,1,0,0,0,0,7138026
277,Lawyer Beta,Class Action (Securities),Alberta,Technology,Third Party,1,1,0,1,1,1,0,1,7313475
278,Lawyer Iota,Class Action (Product Liabilty,Ontario,Banking,Defendant,0,0,1,0,0,0,0,0,13318541
279,Lawyer Kappa,Class Action (Privacy,Ontario,Retail,Third Party,0,1,1,1,0,0,1,1,3117961
280,Lawyer Zeta,Class Action (Securities),Alberta,Banking,Defendant,1,1,1,0,1,1,1,1,11025124
281,Lawyer Epsilon,Action (Securities),British Columbia,Technology,Defendant,0,1,0,0,0,1,0,0,12440245
282,Lawyer Eta,Action (Privacy),Alberta,Retail,Third Party,0,1,1,1,0,0,0,0,18196529
283,Lawyer Delta,Action (Privacy),British Columbia,Transportation,Plaintiff,0,0,1,0,1,1,1,0,15938062
284,Lawyer Theta,Class Action (Securities),Federal,Technology,Third Party,0,1,1,1,1,1,0,0,6769602
285,Lawyer Iota,Action (Product Liability),British Columbia,Transportation,Third Party,1,0,0,0,0,0,1,0,10717273
286,Lawyer Delta,Action (Commercial),Quebec,Resources,Defendant,0,0,0,0,0,1,0,0,13601014
287,Lawyer Iota,Class Action (Privacy,Federal,Retail,Defendant,0,1,1,0,0,1,0,0,14949504
288,Lawyer Epsilon,Action (Privacy),British Columbia,Transportation,Plaintiff,0,1,1,1,1,0,0,0,13908465
289,Lawyer Delta,Action (Commercial),Quebec,Technology,Defendant,0,0,0,1,1,0,0,0,3801445
290,Lawyer Theta,Action (Commercial),Ontario,Banking,Third Party,1,0,1,1,1,1,0,1,14086860
291,Lawyer Gamma,Class Action (Securities),Federal,Banking,Plaintiff,1,0,0,0,1,0,0,1,753077
292,Lawyer Iota,Action (Commercial),Federal,Banking,Defendant,1,0,0,1,1,0,1,1,11060162
293,Lawyer Epsilon,Class Action (Securities),Alberta,Construction,Defendant,1,0,1,0,1,0,1,1,15642738
294,Lawyer Beta,Action (Product Liability),Ontario,Transportation,Plaintiff,1,0,1,1,0,1,1,1,6081422
295,Lawyer Zeta,Class Action (Securities),Quebec,Retail,Plaintiff,0,1,0,0,0,1,1,1,7665438
296,Lawyer Alpha,Class Action (Product Liabilty,Alberta,Insurance,Plaintiff,1,1,0,1,1,0,0,1,5032056
297,Lawyer Beta,Action (Product Liability),British Columbia,Insurance,Defendant,1,1,0,0,0,1,1,0,15794472
298,Lawyer Theta,Class Action (Competition),British Columbia,Insurance,Plaintiff,1,0,1,1,1,0,1,1,19151527
299,Lawyer Zeta,Class Action (Privacy,British Columbia,Pharmaceuticals,Third Party,0,1,0,0,1,1,0,1,10453118
300,Lawyer Beta,Action (Securities),Alberta,Transportation,Plaintiff,1,0,0,1,1,1,0,1,14859933
301,Lawyer Kappa,Class Action (Product Liabilty,Federal,Insurance,Plaintiff,1,0,0,0,0,1,1,0,4276453
302,Lawyer Delta,Class Action (Product Liabilty,Federal,Banking,Defendant,1,1,0,0,0,1,1,0,5653358
303,Lawyer Iota,Class Action (Securities),Quebec,Transportation,Third Party,0,0,1,0,1,1,1,1,14103344
304,Lawyer Kappa,Class Action (Privacy,Federal,Resources,Defendant,1,1,1,0,0,1,1,0,10751672
305,Lawyer Theta,Action (Privacy),Ontario,Insurance,Defendant,0,0,1,0,0,1,1,1,19507865
306,Lawyer Eta,Class Action (Securities),Alberta,Banking,Plaintiff,0,0,1,0,1,1,1,1,8790759
307,Lawyer Gamma,Class Action (Securities),Ontario,Technology,Third Party,0,1,0,1,1,1,1,0,18925954
308,Lawyer Eta,Action (Securities),Quebec,Transportation,Defendant,1,0,1,0,0,1,0,0,17438363
309,Lawyer Kappa,Class Action (Competition),Alberta,Resources,Third Party,1,1,1,1,0,0,1,0,19553510
310,Lawyer Theta,Class Action (Product Liabilty,Federal,Pharmaceuticals,Defendant,1,0,1,1,0,0,1,0,17120385
311,Lawyer Alpha,Action (Securities),Federal,Insurance,Plaintiff,0,1,1,1,1,0,1,0,14885778
312,Lawyer Epsilon,Class Action (Product Liabilty,Federal,Banking,Defendant,1,0,0,1,0,1,1,1,9025244
313,Lawyer Theta,Action (Commercial),Quebec,Retail,Third Party,1,1,0,0,0,0,1,1,17100995
314,Lawyer Eta,Action (Product Liability),Ontario,Transportation,Plaintiff,0,1,0,1,0,0,0,0,11984371
315,Lawyer Eta,Action (Securities),British Columbia,Transportation,Defendant,1,1,0,1,0,1,1,1,898171
316,Lawyer Alpha,Action (Commercial),Ontario,Construction,Defendant,1,0,0,1,1,0,0,0,14830212
317,Lawyer Beta,Action (Securities),Federal,Construction,Third Party,0,1,0,1,1,0,0,1,8635797
318,Lawyer Zeta,Class Action (Product Liabilty,Federal,Construction,Defendant,0,1,0,0,0,1,1,0,11766297
319,Lawyer Epsilon,Class Action (Privacy,Federal,Transportation,Third Party,1,1,0,1,1,0,0,0,7442710
320,Lawyer Gamma,Class Action (Competition),Federal,Transportation,Third Party,0,1,0,0,1,1,0,0,12992843
321,Lawyer Iota,Class Action (Securities),Quebec,Technology,Plaintiff,1,1,0,0,1,0,1,0,11558173
322,Lawyer Beta,Action (Securities),Quebec,Retail,Third Party,1,0,0,0,1,1,1,0,7801573
323,Lawyer Eta,Class Action (Product Liabilty,Ontario,Technology,Plaintiff,1,0,1,0,0,0,0,1,2776285
324,Lawyer Epsilon,Action (Product Liability),British Columbia,Retail,Plaintiff,1,0,0,0,0,0,1,1,13331256
325,Lawyer Iota,Action (Commercial),Federal,Insurance,Defendant,0,1,0,1,0,1,0,1,7441261
326,Lawyer Alpha,Action (Commercial),Alberta,Resources,Defendant,0,1,1,1,0,1,0,1,15288043
327,Lawyer Theta,Action (Product Liability),Quebec,Retail,Plaintiff,1,0,0,0,1,0,1,0,2113954
328,Lawyer Beta,Action (Securities),Federal,Insurance,Third Party,1,1,1,0,1,0,0,1,7964754
329,Lawyer Theta,Action (Product Liability),Quebec,Banking,Plaintiff,1,1,1,1,1,0,0,0,10982352
330,Lawyer Zeta,Action (Privacy),Federal,Construction,Defendant,0,0,1,0,1,1,0,1,15042345
331,Lawyer Gamma,Action (Product Liability),Alberta,Transportation,Defendant,0,1,1,0,0,0,1,0,18757197
332,Lawyer Beta,Class Action (Privacy,Quebec,Resources,Plaintiff,1,0,1,1,1,1,0,1,11423054
333,Lawyer Theta,Action (Privacy),Quebec,Pharmaceuticals,Plaintiff,0,1,0,1,0,1,1,1,3340322
334,Lawyer Kappa,Action (Securities),Ontario,Retail,Defendant,1,0,1,1,0,1,1,1,16617912
335,Lawyer Zeta,Action (Privacy),Federal,Pharmaceuticals,Defendant,1,1,0,1,1,1,1,0,15898289
336,Lawyer Theta,Class Action (Product Liabilty,British Columbia,Construction,Defendant,0,1,0,0,0,0,0,1,9291458
337,Lawyer Alpha,Action (Securities),British Columbia,Banking,Third Party,1,0,0,0,1,0,0,1,12638226
338,Lawyer Beta,Action (Product Liability),Federal,Construction,Defendant,0,1,1,1,0,0,0,0,16469881
339,Lawyer Eta,Class Action (Product Liabilty,Quebec,Transportation,Plaintiff,0,0,0,1,0,0,0,0,16154462
340,Lawyer Theta,Class Action (Privacy,Alberta,Insurance,Plaintiff,0,1,0,1,1,0,1,0,13420255
341,Lawyer Eta,Action (Privacy),Ontario,Banking,Plaintiff,0,0,0,0,1,0,1,0,1177452
342,Lawyer Beta,Class Action (Privacy,Alberta,Transportation,Plaintiff,1,0,1,0,1,1,1,1,5916120
343,Lawyer Theta,Class Action (Privacy,Alberta,Construction,Third Party,1,1,1,0,1,0,0,1,12461751
344,Lawyer Eta,Action (Product Liability),Federal,Transportation,Defendant,0,1,1,0,1,1,0,0,7646674
345,Lawyer Kappa,Class Action (Securities),Federal,Pharmaceuticals,Plaintiff,0,1,1,1,0,1,1,1,1043448
346,Lawyer Beta,Class Action (Product Liabilty,Ontario,Resources,Defendant,1,0,0,1,1,0,1,0,11966658
347,Lawyer Alpha,Action (Commercial),Federal,Insurance,Defendant,0,0,1,0,0,0,1,0,4064822
348,Lawyer Gamma,Class Action (Competition),Federal,Insurance,Third Party,0,1,0,0,1,1,0,1,6824403
349,Lawyer Eta,Action (Commercial),Federal,Transportation,Third Party,0,0,1,0,1,0,0,1,4127837
350,Lawyer Gamma,Action (Commercial),Federal,Technology,Plaintiff,0,1,0,0,1,0,0,1,19718360
351,Lawyer Eta,Action (Securities),Alberta,Construction,Defendant,0,0,0,1,0,1,1,0,1432110
352,Lawyer Kappa,Class Action (Product Liabilty,Quebec,Pharmaceuticals,Plaintiff,0,0,1,1,1,1,1,1,13704866
353,Lawyer Theta,Class Action (Product Liabilty,Quebec,Retail,Plaintiff,1,1,1,1,0,0,1,0,7132627
354,Lawyer Theta,Class Action (Privacy,Alberta,Retail,Third Party,0,0,0,0,1,1,1,1,6120282
355,Lawyer Beta,Action (Product Liability),Quebec,Retail,Plaintiff,0,0,1,0,1,0,1,0,12756877
356,Lawyer Zeta,Class Action (Privacy,Federal,Construction,Third Party,1,1,0,1,1,1,1,1,18687769
357,Lawyer Kappa,Class Action (Competition),Federal,Pharmaceuticals,Plaintiff,0,1,0,0,0,1,1,1,19823608
358,Lawyer Iota,Action (Product Liability),Alberta,Technology,Plaintiff,0,0,0,1,0,0,1,1,7226129
359,Lawyer Epsilon,Class Action (Privacy,Ontario,Banking,Third Party,0,1,1,0,1,0,0,1,12492278
360,Lawyer Delta,Class Action (Securities),Quebec,Pharmaceuticals,Third Party,0,1,0,0,1,0,1,0,13275632
361,Lawyer Iota,Action (Privacy),Alberta,Construction,Third Party,0,1,1,1,1,0,1,0,4521942
362,Lawyer Eta,Action (Securities),Federal,Transportation,Third Party,0,1,0,1,0,0,0,1,18775756
363,Lawyer Epsilon,Class Action (Privacy,Federal,Banking,Defendant,1,1,0,1,0,0,1,0,4311138
364,Lawyer Iota,Class Action (Product Liabilty,Ontario,Insurance,Defendant,1,1,0,0,1,0,0,0,13708565
365,Lawyer Theta,Action (Privacy),Alberta,Banking,Plaintiff,1,0,1,1,0,1,1,0,15710077
366,Lawyer Delta,Action (Product Liability),Quebec,Insurance,Plaintiff,0,1,0,0,0,1,0,1,14664391
367,Lawyer Eta,Action (Product Liability),Federal,Transportation,Plaintiff,1,1,1,0,0,0,0,1,5385448
368,Lawyer Delta,Class Action (Securities),Alberta,Construction,Defendant,0,1,1,0,0,0,0,0,16041963
369,Lawyer Delta,Class Action (Privacy,Alberta,Resources,Defendant,0,0,1,0,1,0,0,1,3426551
370,Lawyer Zeta,Action (Product Liability),Alberta,Resources,Defendant,1,1,0,0,0,0,1,1,10833785
371,Lawyer Delta,Class Action (Competition),Federal,Retail,Plaintiff,0,0,1,0,1,1,0,0,7037970
372,Lawyer Delta,Action (Securities),Federal,Retail,Defendant,1,1,0,1,0,0,1,0,9548141
373,Lawyer Zeta,Class Action (Securities),Ontario,Insurance,Plaintiff,0,0,1,1,1,0,0,1,17102871
374,Lawyer Beta,Action (Product Liability),Ontario,Technology,Defendant,1,1,0,0,0,1,0,1,13146822
375,Lawyer Iota,Action (Product Liability),Alberta,Resources,Third Party,0,1,0,0,0,1,0,0,10345428
376,Lawyer Beta,Class Action (Product Liabilty,Ontario,Transportation,Third Party,1,0,1,1,1,1,0,1,8575714
377,Lawyer Delta,Action (Securities),British Columbia,Construction,Defendant,0,1,1,0,0,0,1,0,11886703
378,Lawyer Kappa,Action (Product Liability),Quebec,Banking,Defendant,0,0,0,0,0,1,0,0,14783373
379,Lawyer Zeta,Action (Privacy),Federal,Banking,Plaintiff,1,1,1,1,0,0,1,1,15237708
380,Lawyer Epsilon,Class Action (Product Liabilty,Federal,Retail,Plaintiff,0,1,0,1,1,1,1,0,17197962
381,Lawyer Beta,Action (Commercial),Federal,Insurance,Third Party,1,0,1,1,1,1,1,0,19121740
382,Lawyer Zeta,Class Action (Privacy,Alberta,Banking,Defendant,1,0,0,1,1,0,1,0,4376651
383,Lawyer Epsilon,Action (Securities),Quebec,Banking,Defendant,0,0,0,1,1,1,0,1,5721935
384,Lawyer Alpha,Class Action (Product Liabilty,Quebec,Pharmaceuticals,Plaintiff,1,0,0,1,0,1,0,1,15087025
385,Lawyer Gamma,Action (Securities),Quebec,Technology,Plaintiff,0,1,0,1,0,0,1,1,17047230
386,Lawyer Alpha,Class Action (Privacy,Ontario,Retail,Plaintiff,0,1,0,1,0,1,0,1,13893522
387,Lawyer Alpha,Class Action (Competition),Quebec,Technology,Third Party,1,1,1,1,1,0,0,0,5788358
388,Lawyer Zeta,Action (Privacy),British Columbia,Resources,Defendant,0,0,1,0,1,0,1,1,6305735
389,Lawyer Kappa,Class Action (Securities),British Columbia,Insurance,Third Party,0,1,1,1,1,0,1,0,6385677
390,Lawyer Epsilon,Class Action (Securities),Federal,Retail,Plaintiff,1,0,1,1,0,0,1,0,5356814
391,Lawyer Kappa,Action (Securities),Quebec,Pharmaceuticals,Plaintiff,0,0,0,0,1,0,1,0,6935664
392,Lawyer Delta,Action (Privacy),Quebec,Retail,Third Party,1,1,1,1,1,0,0,0,17413114
393,Lawyer Eta,Action (Product Liability),Quebec,Banking,Third Party,0,1,1,1,1,0,0,0,12558984
394,Lawyer Iota,Class Action (Product Liabilty,Federal,Banking,Plaintiff,0,1,1,1,0,1,0,0,13413721
395,Lawyer Theta,Action (Privacy),Alberta,Resources,Third Party,0,0,1,0,1,1,0,1,18813400
396,Lawyer Eta,Action (Product Liability),Quebec,Insurance,Third Party,0,0,0,0,0,1,0,0,9809963
397,Lawyer Kappa,Action (Product Liability),Quebec,Resources,Third Party,1,1,1,1,1,0,0,0,8172499
398,Lawyer Epsilon,Action (Product Liability),Federal,Construction,Plaintiff,1,1,0,1,1,0,1,1,7214136
399,Lawyer Kappa,Action (Product Liability),British Columbia,Technology,Third Party,1,1,0,1,1,1,1,0,4436898
400,Lawyer Kappa,Action (Product Liability),Alberta,Banking,Third Party,0,0,0,0,0,0,1,1,5882510
401,Lawyer Alpha,Action (Commercial),Ontario,Insurance,Defendant,0,1,1,0,0,0,1,0,9534601
402,Lawyer Kappa,Class Action (Privacy,Ontario,Pharmaceuticals,Third Party,0,1,0,1,0,0,1,1,18776210
403,Lawyer Epsilon,Class Action (Competition),Alberta,Banking,Plaintiff,0,0,1,0,0,1,1,0,3379441
404,Lawyer Delta,Class Action (Product Liabilty,Quebec,Transportation,Plaintiff,0,0,0,1,1,1,0,0,15451942
405,Lawyer Eta,Class Action (Privacy,Ontario,Technology,Third Party,0,1,1,1,1,1,0,1,3381010
406,Lawyer Epsilon,Action (Securities),Quebec,Banking,Plaintiff,0,1,0,1,1,0,1,0,8411146
407,Lawyer Zeta,Class Action (Competition),Ontario,Banking,Plaintiff,0,0,0,0,0,0,0,0,9692068
408,Lawyer Zeta,Action (Securities),British Columbia,Retail,Plaintiff,1,0,0,0,0,1,0,0,1632330
409,Lawyer Alpha,Action (Commercial),British Columbia,Construction,Plaintiff,0,1,1,1,0,0,0,0,6380581
410,Lawyer Delta,Class Action (Privacy,Alberta,Insurance,Third Party,1,1,1,0,1,1,0,0,14999235
411,Lawyer Kappa,Class Action (Product Liabilty,Ontario,Technology,Third Party,1,0,0,0,0,1,1,0,4430610
412,Lawyer Gamma,Action (Commercial),Ontario,Resources,Plaintiff,1,0,0,0,0,1,0,1,17199311
413,Lawyer Iota,Action (Securities),British Columbia,Technology,Third Party,0,0,1,0,1,1,1,0,8793087
414,Lawyer Kappa,Action (Product Liability),British Columbia,Insurance,Third Party,0,1,0,0,1,1,1,0,8303751
415,Lawyer Theta,Action (Product Liability),Federal,Retail,Third Party,0,0,0,0,1,1,0,0,18864118
416,Lawyer Kappa,Action (Product Liability),Quebec,Banking,Third Party,1,0,1,0,0,1,1,1,1981801
417,Lawyer Alpha,Action (Securities),Federal,Retail,Defendant,0,0,1,1,0,1,1,1,4548743
418,Lawyer Gamma,Action (Securities),Ontario,Transportation,Plaintiff,1,0,1,1,1,0,0,1,8065274
419,Lawyer Epsilon,Class Action (Product Liabilty,Federal,Technology,Plaintiff,1,0,0,0,1,0,1,0,9516070
420,Lawyer Zeta,Class Action (Privacy,Federal,Pharmaceuticals,Defendant,1,0,0,0,1,1,0,1,7016905
421,Lawyer Theta,Class Action (Competition),Quebec,Transportation,Defendant,1,1,1,1,1,0,0,0,8927416
422,Lawyer Eta,Action (Privacy),Ontario,Insurance,Defendant,0,0,0,1,0,1,0,1,2764550
423,Lawyer Theta,Class Action (Securities),British Columbia,Resources,Defendant,1,0,0,0,0,0,0,1,5819417
424,Lawyer Alpha,Class Action (Competition),Alberta,Retail,Defendant,0,0,0,0,0,1,0,0,18262510
425,Lawyer Theta,Class Action (Privacy,Federal,Banking,Plaintiff,1,0,0,0,1,0,0,1,10721067
426,Lawyer Iota,Class Action (Product Liabilty,British Columbia,Pharmaceuticals,Plaintiff,0,0,0,1,1,1,1,0,8244384
427,Lawyer Beta,Class Action (Privacy,Federal,Technology,Third Party,0,0,1,0,0,1,1,1,6067101
428,Lawyer Epsilon,Class Action (Product Liabilty,Ontario,Resources,Defendant,1,1,1,0,1,1,1,0,4316582
429,Lawyer Iota,Class Action (Privacy,Alberta,Pharmaceuticals,Defendant,1,1,0,0,0,1,0,0,7576992
430,Lawyer Epsilon,Class Action (Privacy,Ontario,Construction,Plaintiff,0,0,1,1,0,0,1,0,1275667
431,Lawyer Kappa,Class Action (Securities),Alberta,Banking,Plaintiff,0,0,0,1,0,0,0,1,12676228
432,Lawyer Theta,Class Action (Privacy,Ontario,Technology,Defendant,1,0,1,0,0,0,0,0,15302598
433,Lawyer Beta,Action (Product Liability),Alberta,Pharmaceuticals,Defendant,1,1,1,0,1,1,1,0,7681709
434,Lawyer Eta,Action (Securities),Federal,Pharmaceuticals,Defendant,1,0,0,1,1,0,0,1,6752107
435,Lawyer Kappa,Action (Privacy),British Columbia,Technology,Defendant,0,0,0,0,1,0,1,1,6590481
436,Lawyer Beta,Class Action (Product Liabilty,British Columbia,Insurance,Defendant,1,1,0,0,1,0,0,1,12477382
437,Lawyer Alpha,Action (Privacy),Ontario,Construction,Third Party,0,1,1,1,1,1,0,0,977596
438,Lawyer Theta,Class Action (Product Liabilty,Quebec,Insurance,Plaintiff,1,1,0,1,1,0,1,0,15451255
439,Lawyer Eta,Action (Product Liability),Alberta,Technology,Defendant,1,1,0,0,0,1,0,0,16744579
440,Lawyer Gamma,Action (Privacy),Quebec,Construction,Plaintiff,0,1,0,0,1,1,1,0,13610932
441,Lawyer Epsilon,Action (Privacy),Federal,Resources,Third Party,0,1,1,0,0,0,0,0,4756331
442,Lawyer Beta,Class Action (Competition),Ontario,Transportation,Defendant,1,0,1,1,0,0,0,0,13788010
443,Lawyer Eta,Action (Securities),Federal,Transportation,Defendant,0,0,0,1,0,1,1,1,1401131
444,Lawyer Beta,Action (Commercial),Alberta,Technology,Third Party,1,1,1,0,1,0,0,1,18713334
445,Lawyer Delta,Class Action (Product Liabilty,British Columbia,Resources,Defendant,1,0,0,0,1,1,0,1,9451448
446,Lawyer Theta,Class Action (Competition),Federal,Pharmaceuticals,Defendant,0,1,0,1,1,0,0,0,8458549
447,Lawyer Iota,Action (Product Liability),British Columbia,Construction,Plaintiff,1,1,1,1,1,1,0,0,9200980
448,Lawyer Alpha,Action (Securities),Alberta,Banking,Defendant,0,0,1,0,0,0,1,0,18084591
449,Lawyer Beta,Action (Privacy),Federal,Construction,Third Party,1,1,0,0,1,0,1,0,3900084
450,Lawyer Kappa,Action (Securities),Quebec,Pharmaceuticals,Third Party,1,0,1,0,0,0,1,0,1509751
451,Lawyer Kappa,Class Action (Competition),Federal,Insurance,Defendant,1,1,1,1,1,1,0,0,587908
452,Lawyer Iota,Action (Securities),Quebec,Resources,Plaintiff,1,0,0,1,0,1,1,1,16038519
453,Lawyer Delta,Class Action (Product Liabilty,Federal,Banking,Defendant,1,1,0,0,1,1,0,1,19942097
454,Lawyer Zeta,Class Action (Privacy,Quebec,Construction,Third Party,0,0,0,1,1,0,1,0,10434452
455,Lawyer Iota,Action (Product Liability),British Columbia,Technology,Third Party,1,0,1,0,0,0,0,1,2756832
456,Lawyer Theta,Action (Commercial),Alberta,Transportation,Defendant,1,0,0,1,1,0,0,1,7413269
457,Lawyer Beta,Class Action (Product Liabilty,Federal,Technology,Defendant,0,0,0,1,1,0,1,1,2839182
458,Lawyer Eta,Action (Securities),Alberta,Insurance,Plaintiff,0,0,1,0,0,0,0,1,14535147
459,Lawyer Alpha,Class Action (Competition),Quebec,Resources,Third Party,0,0,1,1,1,1,0,0,8696662
460,Lawyer Delta,Action (Product Liability),Alberta,Construction,Defendant,1,0,1,0,1,1,0,1,988310
461,Lawyer Epsilon,Class Action (Product Liabilty,Quebec,Construction,Third Party,1,1,0,1,1,1,1,0,15063822
462,Lawyer Gamma,Action (Product Liability),Alberta,Technology,Third Party,0,0,0,0,1,0,0,1,7823035
463,Lawyer Gamma,Action (Privacy),Ontario,Technology,Plaintiff,0,1,1,0,1,1,0,1,7242843
464,Lawyer Alpha,Action (Privacy),Ontario,Resources,Third Party,0,0,1,1,1,0,0,0,11232587
465,Lawyer Delta,Action (Product Liability),Ontario,Retail,Defendant,0,0,1,1,0,1,0,1,5125676
466,Lawyer Eta,Action (Commercial),Federal,Transportation,Defendant,1,1,1,1,1,1,0,0,9768659
467,Lawyer Eta,Class Action (Privacy,Ontario,Technology,Defendant,1,1,0,0,1,1,0,1,13928739
